# Ground Control Points (GCPs)
# World frame coordinates
# Units: millimetres
# Columns: point_id  X  Y  Z

# point_id      X         	Y         	Z
1065		-1601.7		-119.5		518.9
1066		-1600.6		-118.4		767.8
1067		-1519.8		2.6		811.2
1069		-1411.5		142.7		2983.1
1070		-1405.4		154.9		1814.2
1071		-1398.2		166		2157.2
1072		-1397.8		174.9		3151.8
1073		-1391.2		176.4		1388.7
1074		-1370		195.9		188.6
1075		-1366.4		203.6		471.1
1076		-1328.4		270.9		1741.3
1077		-1224.7		415.2		2320.4
1078		-1180.2		465.7		2602
1079		-1163.4		492.8		2143.8
1080		-1163.2		489.7		2987.3
1081		-1162.5		494.2		1386.6
1082		-1125.6		537.8		505
1083		-1118.1		549.2		770.8
1084		-1021.3		691.3		1285.2
1085		-985.1		734.5		168.1
1086		-941.6		798.2		3011.6
1087		-933.1		808.6		2177.2
1088		-933		811.7		3396.5
1089		-931.5		811.9		1801.1
1090		-925.7		818		1367.8
1091		-897.6		850.4		494.5
1092		-869.5		882.5		50.1
1093		-830.7		956.2		1967.9
1094		-713.6		1113.2		3024.6
1095		-697.1		1132.8		2633.5
1096		-693.3		1139.1		2157.9
1097		-687.5		1144.4		1376.4
1098		-661.6		1173.7		519.3
1099		-646.9		1193.8		809.4
1100		-632.7		1222.4		923.4
1101		-588.8		1292.8		2868.8
1102		-476.8		1437.1		3359.6
1103		-457.1		1462.8		3027.1
1104		-446.2		1475.3		2169.5
1105		-441.5		1481		1389
1106		-438.2		1486.1		1750.1
1107		-426.1		1498.6		500
1108		-401.2		1527.8		55.4
1109		-306.6		1671.2		434.6
1110		-303.3		1679.7		1992.8
1111		-220.5		1782.9		2640.4
1112		-219.2		1786.3		3036.4
1113		-212.2		1794.6		1406.2
1114		-187.6		1829.2		2193.1
1115		-182.6		1832.8		512.5
1116		-172.9		1845.8		790.9
1117		-96.4		1962.1		1231.2
1118		-77.6		1991.2		3157.1
1119		10.7		2100.9		3386.2
1120		14.8		2105.9		3031.4
1121		26.4		2122		2181.3
1122		29.8		2125.1		1379.6
1123		36		2133.9		1775.8
1124		57.5		2161.7		487.5
1125		57.6		2157.5		50.9
1126		236.3		2419.9		2455.5
1127		250.4		2429.3		2982.9
1128		251.4		2429		2646.9
1129		261.3		2441.6		2174.3
1130		264.8		2448.7		1423
1131		300.2		2495.6		506.8
1132		304.5		2500.2		781
1133		424.9		2676.2		206
1134		438.7		2696.7		1552.8
1135		502.6		2773.5		3278.7
1136		503.8		2776.3		2993.1
1137		505.1		2777.1		1770.3
1138		519.5		2797.2		1394.2
1139		519.6		2796.8		465.4
1140		520.4		2795.2		65.9
1141		521.1		2800.7		2196
1142		688		3039.8		2825.9
1143		702.6		3058.3		688.3
1145		759.9		3125.5		2182.5
1146		803.5		3184.3		849.5
1147		821.4		3221.7		2014.6
1148		823.2		3213		1394.1
2000		1071.3		3343.8		1649.1
2001		1087.4		3326.4		1041
2002		1096.1		3320.7		529.1
2003		1145.6		3284.4		3041
2004		1153.4		3276.4		2287.9
2005		1160.4		3273.4		1481.8
2006		1248.2		3211.5		783.6
2007		1278.5		3197.1		599.6
2008		1376.5		3124.3		2473.6
2009		1475		3049.6		3029.8
2010		1478.9		3044.3		1479.6
2011		1480.4		3042.9		1877.9
2012		1486.1		3039.8		2659.5
2013		1500		3027.8		2289.9
2014		1501.3		3029.1		544.8
2015		1510.4		3023		198.5
2016		1599.2		2963.6		1329.8
2017		1798.5		2814.3		3024
2018		1804.6		2807.5		1429
2019		1811.1		2801.1		2285.3
2020		1811.6		2802.6		583.1
2021		1819.5		2796.8		996.3
2022		1927		2726.7		839.9
2023		1931.5		2724.2		2885.8
2024		2065		2619.7		2644.6
2025		2065.8		2620.6		3020
2026		2112.2		2589.3		184.1
2027		2114.1		2584.2		1892.4
2028		2124.3		2578.5		575.2
2029		2129.8		2572.8		1469.2
2030		2131.9		2570.4		2288.2
2031		2183.7		2543.4		357.7
2032		2183.9		2539.2		2099.2
2033		2401.1		2373.5		2278.4
2034		2414.2		2365.3		1469.6
2035		2416.5		2364		1002.9
2036		2418.4		2364		583.5
2037		2422.7		2365.5		1174.6
2038		2646.9		2203.7		2682
2039		2659.4		2187.8		2297.4
2040		2661.9		2189.3		2999.2
2041		3279.5		1741.1		2341.6
2042		3298		1734.6		2155.8
2043		3310.6		1721.6		3035.8
2044		3418		1646.8		423.8
2045		3456.3		1613.5		1463
2046		3514.1		1578.1		2997.7
2047		3753.5		1404		635.6
2048		3766.1		1391.4		2307
2049		3911.7		1296.1		1635
2050		3989.3		1241.9		919
2052		4049.7		1190.9		1449.5
2054		4292.7		1017.5		621.5







